global  globální
demand  poptávka,požadavek
speech  øeè,proslov
character   charakter
personal    osobní
january leden
art umìní
eat jíst
software    software
organization    organizace
north   sever,severní
media   média
something   nìco
important   dùležitý
clear   jasný,èistý
simple  jednoduchý
person  osoba
official    úøední,oficiální
away    pryè
possible    možný
mark    oznaèit,oznámkovat,znaèka
heart   srdce
view    pohled,dívat se
united  spojený,jednotný
thursday    ètvrtek
step    krok,schod
sign    znak,podpis,podepsat
security    bezpeènost,zabezpeèení
income  pøíjem
fire    oheò
table   stùl,deska,tabule
shore   bøeh,pobøeží
share   podíl,rozdìlit,sdílet
pay plat,platit
rate    sazba,míra,rychlost
institute   institut,organizace
beast   bestie,šelma
popular populární
agency  agentura,èinnost
thousand    tisíc
rather  radìji,ponìkud,spíše
produce produkovat,vytvoøit,výrobek
behind  za,vzadu
already již,už
ring    prsten,zvonit
poor    chudý,ubohý
hospital    nemocnice
fact    fakt,skutek,skuteènost
band    skupina,pásmo
whatever    cokoliv
previous    pøedchozí
detail  detail
wanted  chtìný,hledaný,kýžený
start   start,zaèátek
property    vlastnost,majetek
main    hlavní,vrchní
black   èerná
tell    øíci,øíct
remain  zùstat
indeed  vlastnì
hit úder,uhodit,hit
department  oddìlení
care    peèovat,starat se,péèe
brother bratr
agreement   smlouva,souhlas
line    linka,linie
grain   zrno,vlákno,obilí
bid nabídka
crystal krystal
boxer   boxer
palace  palác
letter  písmeno,dopis
boy chlapec,hoch
project projekt,návrh,navrhnout
application aplikace
state   stav,spoleèenská tøída,stát
sex pohlaví,sex
forecast    pøedpovìï
india   indie
single  jednotlivý,svobodný
nature  pøíroda,povaha
song    píseò
gone    pryè
real    skuteèný
further další,následující
front   pøední,èelit
fourth  ètvrtý
eight   osm
secret  tajný,tajemství
quite   zcela,docela,celkem
political   politický
free    volný,svobodný,zdarma
central centrální,ústøední
size    velikost,rozmìr
